dam_name,lavel,r_percen,percen_lv,cnanel,percen_cha,outflow,outflow/day,chi,perchi,Latitude,Longitude,date,time,urlpercen,urlpercenchi,urlpercencha,inflow,inflow/day,
อุบลรัตน์,870.91,0.36,35.82%,"1,560.39",64.18%,0.8,9.26,289.24,15.64%,16.775259,102.618412,29/8/2023,6.00น.,"<img src=""../beeX/damp/percendamp/1.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์4.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์7.jpg"" width=100% >",1.88,21.76,
อ่างเก็บน้ำแก่งละว้า,24.66,0.54,53.87%,21.12,46.13%,0.01,0.12,23.36,51.03%,16.175638,102.718045,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำห้วยยาง,2.20,0.73,72.81%,0.82,27.19%,-,-,1.67,55.25%,16.116724,102.42947,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำหนองนาวัว,0.83,0.60,59.53%,0.56,40.47%,-,-,0.62,44.64%,16.014361,102.696211,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำห้วยทราย,4.64,0.45,45.05%,5.66,54.95%,0.14,1.62,3.14,30.49%,16.067765,102.803446,29/8/2023,6.00น.,,,,0.06,0.69,
อ่างเก็บน้ำหนองกรองแก้ว,4.68,0.34,34.42%,8.91,65.58%,-,-,0.37,2.71%,16.07808,102.612588,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำห้วยใหญ่,0.90,0.64,64.43%,0.50,35.57%,-,-,0.53,38.00%,16.571797,102.656443,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำละเลิงหวาย,0.93,0.25,24.78%,2.81,75.22%,0.01,0.06,0.90,23.98%,15.791691,102.637231,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำห้วยเตย,3.08,0.58,57.64%,2.26,42.36%,-,-,3.05,57.07%,16.290494,102.814827,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำห้วยลอมไผ่,2.59,0.46,46.29%,3.01,53.71%,-,-,2.33,41.64%,16.697449,102.119417,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำโสกรวก,0.32,0.32,32.30%,0.68,67.70%,-,-,0.15,14.60%,16.635044,102.409082,29/8/2023,6.00น.,,,,-,-,
อ่างเก็บน้ำกกม่วง,0.28,0.572597137,57.26%,0.209,42.74%,0,0.00,0.16,32.72%,16.451285,102.612359,29/8/2023,6.00น.,,,,0,0.00,
อ่างเก็บน้ำโสกสำอางค์,0.063,0.543103448,54.31%,0.053,45.69%,0,0.00,0.06,54.31%,16.555726,102.174101,29/8/2023,6.00น.,,,,0,0.00,
อ่างเก็บน้ำห้วยเสียว,0.465,0.880681818,88.07%,0.063,11.93%,0,0.00,0.15,27.46%,16.743021,102.916517,29/8/2023,6.00น.,,,,0,0.00,
อ่างเก็บน้ำบึงกุดเค้า,6.21,0.286412693,28.64%,15.472,71.36%,0,0.00,-2.72,-12.56%,16.167475,102.552215,29/8/2023,6.00น.,,,,0,0.00,
